symbol,name,exchange,type
BKT,BlackRock Income Trust  Inc.,New York Stock Exchange,stock
CDLX,Cardlytics  Inc.,NASDAQ Global Market,stock
CTRE,CareTrust REIT  Inc.,New York Stock Exchange,stock
RL,Ralph Lauren Corporation,New York Stock Exchange,stock
MS-PP,Morgan Stanley,New York Stock Exchange,stock
TGNA,TEGNA Inc.,New York Stock Exchange,stock
LEVI,Levi Strauss & Co.,New York Stock Exchange,stock
TRNO,Terreno Realty Corporation,New York Stock Exchange,stock
HIG,The Hartford Financial Services Group  Inc.,New York Stock Exchange,stock
CMG,Chipotle Mexican Grill  Inc.,New York Stock Exchange,stock
CNEY,CN Energy Group. Inc.,NASDAQ Capital Market,stock
CNH,CNH Industrial N.V.,New York Stock Exchange,stock
BLDR,Builders FirstSource  Inc.,New York Stock Exchange,stock
IBP,Installed Building Products  Inc.,New York Stock Exchange,stock
LADR,Ladder Capital Corp,New York Stock Exchange,stock
LUV,Southwest Airlines Co.,New York Stock Exchange,stock
BH,Biglari Holdings Inc.,New York Stock Exchange,stock
FDX,FedEx Corporation,New York Stock Exchange,stock
ADCT,ADC Therapeutics SA,New York Stock Exchange,stock
INN,Summit Hotel Properties  Inc.,New York Stock Exchange,stock
AIRS,AirSculpt Technologies  Inc.,NASDAQ Global Market,stock
ONON,On Holding AG,New York Stock Exchange,stock
HG,Hamilton Insurance Group  Ltd.,New York Stock Exchange,stock
CTKB,Cytek Biosciences  Inc.,NASDAQ Global Select,stock
LNZA,LanzaTech Global  Inc.,NASDAQ Capital Market,stock
HRB,H&R Block  Inc.,New York Stock Exchange,stock
MRP,Millrose Properties  Inc.,New York Stock Exchange,stock
DECK,Deckers Outdoor Corporation,New York Stock Exchange,stock
SNFCA,Security National Financial Corporation,NASDAQ Global Market,stock
SONY,Sony Group Corporation,New York Stock Exchange,stock
CUBE,CubeSmart,New York Stock Exchange,stock
SKM,SK Telecom Co. Ltd,New York Stock Exchange,stock
CMSA,CMS Energy Corporation 5.6% JRSUB NT 78,New York Stock Exchange,stock
CMSD,CMS Energy Corporation 5.875% J,New York Stock Exchange,stock
SSP,The E.W. Scripps Company,NASDAQ Global Select,stock
PHR,Phreesia  Inc.,New York Stock Exchange,stock
DAR,Darling Ingredients Inc.,New York Stock Exchange,stock
MGIC,Magic Software Enterprises Ltd.,NASDAQ Global Select,stock
NPB,Northpointe Bancshares  Inc.,New York Stock Exchange,stock
AOUT,American Outdoor Brands  Inc.,NASDAQ Global Select,stock
FUL,H.B. Fuller Company,New York Stock Exchange,stock
LVWR,LiveWire Group  Inc.,New York Stock Exchange,stock
VNCE,Vince Holding Corp.,New York Stock Exchange,stock
ONDS,Ondas Holdings Inc.,NASDAQ Capital Market,stock
PCG,PG&E Corporation,New York Stock Exchange,stock
ECL,Ecolab Inc.,New York Stock Exchange,stock
PFE,Pfizer Inc.,New York Stock Exchange,stock
LRCX,Lam Research Corporation,NASDAQ Global Select,stock
STEM,Stem  Inc.,New York Stock Exchange,stock
AMC,AMC Entertainment Holdings  Inc.,New York Stock Exchange,stock
AVNT,Avient Corporation,New York Stock Exchange,stock
FINV,FinVolution Group,New York Stock Exchange,stock
BAC-PN,Bank of America Corporation,New York Stock Exchange,stock
ADX,Adams Diversified Equity Fund  Inc.,New York Stock Exchange,stock
BELFB,Bel Fuse Inc.,NASDAQ Global Select,stock
BKD,Brookdale Senior Living Inc.,New York Stock Exchange,stock
KNX,Knight-Swift Transportation Holdings Inc.,New York Stock Exchange,stock
KO,The Coca-Cola Company,New York Stock Exchange,stock
TTGT,TechTarget  Inc.,NASDAQ Global Market,stock
AMRC,Ameresco  Inc.,New York Stock Exchange,stock
BRC,Brady Corporation,New York Stock Exchange,stock
BNED,Barnes & Noble Education  Inc.,New York Stock Exchange,stock
BSAC,Banco Santander-Chile,New York Stock Exchange,stock
IOBT,IO Biotech  Inc.,NASDAQ Global Select,stock
MSI,Motorola Solutions  Inc.,New York Stock Exchange,stock
DXC,DXC Technology Company,New York Stock Exchange,stock
LOAR,Loar Holdings Inc.,New York Stock Exchange,stock
FLNG,FLEX LNG Ltd.,New York Stock Exchange,stock
MEC,Mayville Engineering Company  Inc.,New York Stock Exchange,stock
PAC,Grupo Aeroportuario del Pacífico  S.A.B. de C.V.,New York Stock Exchange,stock
HES,Hess Corporation,New York Stock Exchange,stock
MDU,MDU Resources Group  Inc.,New York Stock Exchange,stock
MIY,BlackRock MuniYield Michigan Quality Fund  Inc.,New York Stock Exchange,stock
